价格(元),资金流入(万元),成交笔数,资金流出(万元),成交笔数(万元),资金净流入(万元),流入流出合计(万元),其它成交(万元),占成交总比例(%)
14.93,0.00,0.00,47.89,1.00,-47.89,47.89,0,100.00%
14.94,184.94,2.00,115.42,2.00,69.52,300.36,26.6134,21.26%
14.95,159.34,1.00,172.73,2.00,-13.39,332.07,238.1698,2.35%
14.96,267.95,2.00,890.94,4.00,-622.98,1158.89,189.9403,46.19%
14.97,59.46,1.00,244.25,1.00,-184.79,303.70,384.7786,26.84%
14.98,28.58,1.00,394.76,3.00,-366.18,423.34,338.6306,48.06%
14.99,62.80,3.00,578.74,12.00,-515.93,641.54,149.1296,65.25%
15.00,0.00,0.00,1202.13,15.00,-1202.13,1202.13,1018.1486,54.14%
15.01,24.02,1.00,438.45,4.00,-414.44,462.47,461.4166,44.86%
15.02,60.70,1.00,107.95,6.00,-47.25,168.64,278.3018,10.57%
15.03,26.45,3.00,24.34,3.00,2.11,50.79,278.8281,0.64%
15.04,15.52,1.00,225.03,8.00,-209.51,240.54,91.0816,63.18%
15.05,0.00,0.00,46.21,2.00,-46.21,46.21,207.8107,18.19%
15.06,0.00,0.00,125.42,3.00,-125.42,125.42,249.0301,33.50%
15.07,120.70,4.00,213.92,5.00,-93.22,334.61,409.7466,12.52%
15.08,0.00,0.00,294.99,13.00,-294.99,294.99,248.8857,54.24%
15.09,3.47,1.00,326.62,8.00,-323.15,330.09,138.1845,69.01%
15.10,0.00,0.00,613.97,14.00,-613.97,613.97,548.3636,52.82%
15.11,0.00,0.00,457.84,7.00,-457.84,457.84,481.9931,48.71%
15.12,0.00,0.00,191.73,6.00,-191.73,191.73,93.6395,67.19%
15.13,116.18,4.00,383.64,13.00,-267.46,499.82,324.3707,32.45%
15.14,55.90,1.00,114.81,2.00,-58.91,170.71,71.6026,24.31%
15.15,0.00,0.00,277.76,6.00,-277.76,277.76,577.2116,32.49%
15.16,182.50,2.00,98.30,4.00,84.20,280.79,321.9841,13.97%
15.17,8.95,1.00,243.29,4.00,-234.33,252.24,69.4948,72.83%
15.18,5.02,1.00,334.86,13.00,-329.85,339.88,276.6294,53.50%
15.19,0.00,0.00,174.21,10.00,-174.21,174.21,235.8576,42.48%
15.20,83.97,1.00,743.38,19.00,-659.41,827.34,554.1009,47.73%
15.21,3.95,2.00,16.88,3.00,-12.92,20.83,3.6522,52.78%
15.22,124.88,1.00,234.20,14.00,-109.31,359.08,93.8806,24.13%
15.23,92.52,2.00,331.64,13.00,-239.12,424.16,400.7665,28.99%
15.24,75.13,2.00,359.37,23.00,-284.24,434.51,290.4413,39.21%
15.25,21.97,3.00,377.61,16.00,-355.65,399.58,378.7873,45.69%
15.26,505.51,2.00,369.35,8.00,136.16,874.85,219.3072,12.44%
15.27,47.82,1.00,497.31,16.00,-449.48,545.13,374.1855,48.89%
15.28,0.00,0.00,778.44,13.00,-778.44,778.44,524.0514,59.77%
15.29,51.53,3.00,431.35,19.00,-379.82,482.88,551.5662,36.72%
15.30,29.69,3.00,1787.52,35.00,-1757.83,1817.21,798.807,67.20%
15.31,0.00,0.00,262.75,2.00,-262.75,262.75,103.4493,71.75%
15.32,111.35,3.00,172.90,7.00,-61.55,284.25,116.7844,15.35%
15.33,131.64,1.00,126.88,7.00,4.76,258.52,213.7321,1.01%
15.34,18.57,3.00,95.59,6.00,-77.02,114.17,570.6908,11.25%
15.35,25.19,1.00,396.82,9.00,-371.64,422.01,104.2865,70.61%
15.36,13.06,1.00,186.14,3.00,-173.08,199.20,168.3971,47.08%
15.37,78.50,1.00,57.66,2.00,20.85,136.16,0,15.31%
15.38,0.00,0.00,312.05,4.00,-312.05,312.05,151.2198,67.36%
15.39,0.00,0.00,0.00,0.00,0.00,0.00,326.3833,0.00%
15.40,0.00,0.00,830.61,14.00,-830.61,830.61,537.6866,60.70%
15.41,12.17,1.00,614.74,10.00,-602.56,626.91,269.4379,67.22%
15.42,5.25,1.00,181.63,4.00,-176.39,186.88,229.5074,42.36%
15.43,123.03,5.00,388.41,13.00,-265.38,511.44,635.1,23.15%
15.44,22.39,2.00,1058.99,37.00,-1036.60,1081.38,228.4198,79.14%
15.45,22.90,4.00,869.59,37.00,-846.68,892.49,278.1859,72.32%
15.46,50.72,4.00,68.94,7.00,-18.22,119.65,90.7629,8.66%
15.47,0.00,0.00,163.76,18.00,-163.76,163.76,359.4088,31.30%
15.48,24.76,2.00,218.11,24.00,-193.35,242.88,219.283,41.84%
15.49,11.77,1.00,461.91,10.00,-450.14,473.68,265.1555,60.92%
15.50,3.10,1.00,784.44,42.00,-781.34,787.54,552.9807,58.29%
15.51,1.86,1.00,466.03,13.00,-464.17,467.89,1535.6738,23.17%
15.52,61.63,3.00,225.35,17.00,-163.72,286.98,219.8081,32.31%
15.53,21.90,4.00,461.76,19.00,-439.86,483.66,296.428,56.39%
15.54,95.58,6.00,220.94,41.00,-125.37,316.52,499.618,15.36%
15.55,91.84,7.00,526.82,53.00,-434.99,618.66,984.6836,27.13%
15.56,44.38,2.00,298.31,28.00,-253.93,342.69,317.6417,38.45%
15.57,17.90,2.00,580.96,35.00,-563.05,598.86,361.5356,58.63%
15.58,47.69,8.00,492.52,40.00,-444.83,540.20,610.3997,38.66%
15.59,69.39,8.00,573.51,56.00,-504.12,642.90,632.7659,39.52%
15.60,21.69,3.00,2058.05,98.00,-2036.36,2079.74,1657.8057,54.48%
15.61,117.50,4.00,437.05,33.00,-319.54,554.55,392.3964,33.74%
15.62,22.19,4.00,529.57,50.00,-507.38,551.76,334.4952,57.25%
15.63,67.24,11.00,285.68,29.00,-218.44,352.91,342.0744,31.43%
15.64,60.00,9.00,328.15,33.00,-268.16,388.15,191.6865,46.25%
15.65,3.76,2.00,633.54,64.00,-629.78,637.29,576.1099,51.90%
15.66,34.60,5.00,680.91,53.00,-646.30,715.51,672.4283,46.57%
15.67,68.65,5.00,467.90,40.00,-399.25,536.55,237.4271,51.58%
15.68,7.37,2.00,308.32,25.00,-300.95,315.69,235.6175,54.59%
15.69,88.62,5.00,111.67,15.00,-23.06,200.29,205.5074,5.68%
15.70,0.00,0.00,2134.30,59.00,-2134.30,2134.30,746.419,74.09%
15.71,11.33,1.00,259.88,18.00,-248.55,271.21,348.0466,40.14%
15.72,28.29,6.00,612.83,50.00,-584.53,641.12,438.2298,54.16%
15.73,39.16,4.00,610.33,51.00,-571.17,649.50,521.3532,48.78%
15.74,54.05,5.00,377.19,47.00,-323.14,431.24,199.4171,51.24%
15.75,10.55,3.00,672.63,42.00,-662.08,683.18,373.93,62.63%
15.76,28.51,3.00,599.93,20.00,-571.42,628.44,196.2848,69.29%
15.77,0.00,0.00,395.25,26.00,-395.25,395.25,113.2409,77.73%
15.78,11.96,1.00,219.00,25.00,-207.04,230.96,381.5509,33.80%
15.79,0.00,0.00,571.57,29.00,-571.57,571.57,586.9769,49.34%
15.80,20.07,2.00,1835.86,43.00,-1815.79,1855.92,640.804,72.73%
15.81,3.79,1.00,520.07,22.00,-516.28,523.86,186.6533,72.66%
15.82,2.21,1.00,231.05,21.00,-228.84,233.27,324.9779,40.99%
15.83,7.60,1.00,237.71,18.00,-230.11,245.31,71.9159,72.54%
15.84,42.85,1.00,154.42,14.00,-111.57,197.27,142.2747,32.86%
15.85,11.26,1.00,330.02,15.00,-318.76,341.28,538.1229,36.25%
15.86,103.22,5.00,1102.24,15.00,-999.02,1205.45,200.412,71.06%
15.87,0.00,0.00,442.22,10.00,-442.22,442.22,0,100.00%
15.88,0.00,0.00,19607.07,552.00,-19607.07,19607.07,0,100.00%
